Date	Total	Recovered	Deaths	Current
2020-03-09	5	0	0	5
2020-03-10	6	0	0	6
2020-03-11	8	0	0	8
2020-03-12	9	0	0	9
2020-03-13	13	0	0	13
2020-03-15	20	0	0	20
2020-03-16	34	0	0	34
2020-03-17	41	0	0	41
2020-03-18	47	0	0	47
2020-03-19	57	0	0	57
2020-03-20	66	0	0	66
2020-03-21	80	0	0	80
2020-03-22	104	15	0	89
2020-03-23	108	8	0	100
2020-03-24	111	15	0	96
2020-03-25	118	15	0	103
2020-03-26	122	23	0	99
2020-03-27	133	25	0	108
2020-03-28	143	35	0	108
2020-03-29	155	39	0	116
2020-03-30	171	41	0	130
2020-03-31	186	50	0	136
2020-04-01	195	60	0	135
2020-04-02	213	63	1	149
2020-04-03	226	79	2	145
2020-04-04	232	87	2	143
2020-04-05	234	100	2	132
2020-04-06	243	107	2	134
2020-04-07	246	110	4	132
2020-04-08	254	125	6	123
2020-04-09	257	136	6	115
2020-04-10	264	141	6	117
2020-04-11	267	146	6	115
2020-04-12	269	155	6	108
2020-04-13	271	159	6	106
2020-04-14	273	163	6	104
2020-04-15	273	173	6	94
2020-04-16	275	177	6	92
2020-04-17	277	186	6	85
2020-04-18	280	192	6	82
2020-04-19	280	198	6	76
2020-04-20	281	204	6	71
2020-04-21	281	213	6	62
2020-04-22	281	215	6	60
2020-04-23	283	221	6	56
2020-04-24	283	225	6	52
2020-04-25	288	231	6	51
2020-04-26	289	233	6	50
2020-04-27	289	237	6	46
2020-04-28	293	244	6	43
2020-04-29	296	244	6	46
2020-04-30	296	247	6	43
2020-05-01	298	251	7	40
2020-05-02	302	254	7	41
2020-05-03	304	255	7	42
2020-05-04	304	255	7	42
2020-05-05	304	262	7	35
2020-05-06	303	264	7	32
2020-05-07	302	268	7	27
2020-05-08	300	268	7	25
2020-05-09	300	271	7	22
2020-05-10	300	275	7	18
2020-05-11	302	276	7	19
2020-05-12	302	276	7	19
2020-05-13	302	278	7	17
2020-05-14	303	279	7	17
2020-05-15	304	286	7	11
2020-05-16	305	287	7	11
2020-05-17	305	287	7	11
2020-05-18	305	287	7	11
2020-05-19	305	288	7	10
2020-05-20	306	289	7	10
2020-05-21	306	291	7	8
2020-05-22	306	291	7	8
2020-05-23	306	291	7	8
2020-05-24	306	292	7	7
2020-05-25	307	292	7	8
2020-05-26	307	293	7	7
2020-05-27	308	294	7	7
2020-05-28	308	296	7	5
2020-05-29	308	297	7	4
2020-05-30	309	297	7	5
2020-05-31	310	297	7	6
2020-06-01	311	297	7	7
2020-06-02	311	297	7	7
2020-06-03	311	297	7	7
2020-06-04	311	297	7	7
2020-06-05	311	297	7	7
2020-06-06	311	299	7	5
2020-06-07	311	300	7	4
2020-06-08	311	301	7	3
2020-06-09	311	301	7	3
2020-06-10	311	301	7	3
2020-06-11	309	299	7	3
2020-06-12	309	299	7	3
2020-06-13	310	300	7	3
2020-06-14	310	300	7	3
2020-06-15	322	301	7	14
2020-06-16	322	302	7	13
2020-06-17	322	302	7	13
2020-06-18	324	302	7	15
2020-06-19	324	302	7	15
2020-06-20	324	302	7	15
2020-06-21	325	302	7	16
2020-06-22	325	302	7	16
2020-06-23	325	302	7	16
2020-06-24	325	302	7	16
2020-06-25	325	302	7	16
2020-06-26	324	302	7	15
2020-06-27	324	303	7	14
2020-06-28	324	303	7	14
2020-06-29	325	303	7	15
2020-06-30	325	315	7	3
2020-07-01	325	315	7	3
2020-07-02	326	315	7	4
2020-07-03	326	315	7	4
2020-07-04	326	315	7	4
2020-07-05	326	315	7	4
2020-07-06	326	315	7	4
2020-07-07	326	316	7	3
2020-07-08	326	316	7	3
2020-07-09	326	317	7	2
2020-07-10	326	317	7	2
2020-07-11	327	318	7	2
2020-07-12	327	318	7	2
2020-07-13	327	318	7	2
2020-07-14	326	318	7	1
2020-07-15	327	319	7	1
2020-07-16	330	319	7	4
2020-07-17	331	319	7	5
2020-07-18	331	319	7	5
2020-07-19	331	319	7	5
2020-07-20	331	319	7	5
2020-07-21	331	319	7	5
2020-07-22	331	319	7	5
2020-07-23	331	319	7	5
2020-07-24	331	320	7	4
2020-07-25	331	320	7	4
2020-07-26	331	320	7	4
2020-07-27	331	320	7	4
2020-07-28	331	322	7	2
2020-07-29	332	322	7	3
2020-07-30	333	323	7	3
2020-07-31	333	323	7	3
2020-08-03	336	323	7	6
2020-08-04	336	323	7	6
2020-08-05	337	324	7	6
2020-08-06	345	324	7	14
2020-08-07	345	326	7	12
2020-08-08	346	329	7	10
2020-08-09	346	329	7	10
2020-08-10	347	329	7	11
2020-08-11	351	330	7	14
2020-08-12	352	333	7	12
2020-08-14	354	338	7	9
2020-08-15	354	338	7	9
2020-08-16	355	338	7	10
2020-08-17	358	339	7	12
2020-08-18	359	341	7	11
2020-08-19	365	345	7	13
2020-08-20	365	345	7	13
2020-08-21	375	347	7	21
2020-08-22	376	351	7	18
2020-08-23	384	351	7	26
2020-08-24	387	354	7	26
2020-08-25	389	356	7	26
2020-08-26	392	356	7	29
2020-08-28	402	367	7	28
