Date	Total	Recovered	Deaths	Current
2020-03-09	13	0	0	13
2020-03-10	16	0	0	16
2020-03-11	23	0	0	23
2020-03-12	25	0	0	25
2020-03-13	33	0	0	33
2020-03-15	70	0	0	70
2020-03-16	77	0	0	77
2020-03-17	109	0	0	109
2020-03-18	124	0	0	124
2020-03-19	154	0	0	154
2020-03-20	182	0	0	182
2020-03-21	238	0	0	238
2020-03-22	276	46	0	230
2020-03-23	299	28	0	271
2020-03-24	330	36	0	294
2020-03-25	371	46	0	325
2020-03-26	413	61	3	349
2020-03-27	460	79	4	377
2020-03-28	489	95	6	388
2020-03-29	521	124	6	391
2020-03-30	554	146	7	401
2020-03-31	591	179	8	404
2020-04-01	625	197	10	418
2020-04-02	652	221	12	419
2020-04-03	676	246	12	418
2020-04-04	701	278	13	410
2020-04-05	713	305	15	393
2020-04-06	726	331	15	380
2020-04-07	739	379	15	345
2020-04-08	745	415	16	314
2020-04-09	753	454	17	282
2020-04-10	766	479	18	269
2020-04-11	778	497	18	263
2020-04-12	795	520	18	257
2020-04-13	803	538	19	246
2020-04-14	811	555	19	237
2020-04-15	824	582	19	223
2020-04-16	836	599	22	215
2020-04-17	839	610	22	207
2020-04-18	845	629	23	193
2020-04-19	853	639	23	191
2020-04-20	855	647	24	184
2020-04-21	855	665	24	166
2020-04-22	855	676	26	153
2020-04-23	860	687	26	147
2020-04-24	861	699	28	134
2020-04-25	868	710	29	129
2020-04-26	871	721	29	121
2020-04-27	873	727	29	117
2020-04-28	875	735	29	111
2020-04-29	879	748	29	102
2020-04-30	881	754	31	96
2020-05-01	884	756	31	97
2020-05-02	892	756	31	105
2020-05-03	902	765	31	106
2020-05-04	902	771	31	100
2020-05-05	902	777	32	93
2020-05-06	898	781	33	84
2020-05-07	900	791	33	76
2020-05-08	903	795	33	75
2020-05-09	907	801	33	73
2020-05-10	912	802	33	77
2020-05-11	918	810	33	75
2020-05-12	921	815	33	73
2020-05-13	925	820	34	71
2020-05-14	941	824	36	81
2020-05-15	944	836	36	72
2020-05-16	945	839	37	69
2020-05-17	947	844	37	66
2020-05-18	947	847	37	63
2020-05-19	948	850	37	61
2020-05-20	950	856	37	57
2020-05-21	952	858	38	56
2020-05-22	953	861	38	54
2020-05-23	954	867	38	49
2020-05-24	956	870	38	48
2020-05-25	956	873	38	45
2020-05-26	957	889	38	30
2020-05-27	958	893	38	27
2020-05-28	960	898	38	24
2020-05-29	960	899	38	23
2020-05-30	962	900	38	24
2020-05-31	962	902	38	22
2020-06-01	964	902	38	24
2020-06-02	964	905	38	21
2020-06-03	964	906	38	20
2020-06-04	965	909	39	17
2020-06-05	966	910	39	17
2020-06-06	969	911	39	19
2020-06-07	970	912	39	19
2020-06-08	970	912	40	18
2020-06-09	970	914	40	16
2020-06-10	970	917	40	13
2020-06-11	972	918	40	14
2020-06-12	972	920	40	12
2020-06-13	971	921	40	10
2020-06-14	971	922	40	9
2020-06-15	971	922	40	9
2020-06-16	971	923	40	8
2020-06-17	972	923	40	9
2020-06-18	972	924	40	8
2020-06-19	972	924	40	8
2020-06-20	972	926	40	6
2020-06-21	976	926	40	10
2020-06-22	976	926	40	10
2020-06-23	976	926	40	10
2020-06-24	976	929	40	7
2020-06-25	977	932	40	5
2020-06-26	977	931	40	6
2020-06-27	977	931	40	6
2020-06-28	978	931	40	7
2020-06-29	980	931	40	9
2020-06-30	980	931	40	9
2020-07-01	980	931	40	9
2020-07-02	982	934	40	8
2020-07-03	982	936	40	6
2020-07-04	984	936	40	8
2020-07-05	986	936	40	10
2020-07-06	987	936	40	11
2020-07-07	989	936	40	13
2020-07-08	993	938	40	15
2020-07-09	995	939	40	16
2020-07-10	998	939	40	19
2020-07-11	1003	942	40	21
2020-07-12	1004	942	40	22
2020-07-13	1005	942	40	23
2020-07-14	1010	942	40	28
2020-07-15	1011	943	40	28
2020-07-16	1015	944	40	31
2020-07-17	1017	944	40	33
2020-07-18	1023	947	40	36
2020-07-19	1025	947	40	38
2020-07-20	1025	947	40	38
2020-07-21	1026	953	40	33
2020-07-22	1031	959	40	32
2020-07-23	1033	963	40	30
2020-07-24	1035	966	40	29
2020-07-25	1038	968	40	30
2020-07-26	1045	968	40	37
2020-07-27	1048	968	40	40
2020-07-28	1049	980	40	29
2020-07-29	1053	983	40	30
2020-07-30	1057	985	40	32
2020-07-31	1080	989	40	51
2020-08-03	1095	1011	40	44
2020-08-04	1096	1021	40	35
2020-08-05	1099	1023	40	36
2020-08-06	1103	1028	40	35
2020-08-07	1105	1032	40	33
2020-08-08	1105	1037	40	28
2020-08-09	1108	1045	40	23
2020-08-10	1111	1045	40	26
2020-08-11	1115	1056	40	19
2020-08-12	1118	1059	40	19
2020-08-14	1132	1064	40	28
2020-08-15	1150	1065	40	45
2020-08-16	1158	1065	40	53
2020-08-17	1160	1073	40	47
2020-08-18	1171	1085	40	46
2020-08-19	1179	1086	40	53
2020-08-20	1190	1094	40	56
2020-08-21	1207	1102	40	65
2020-08-22	1227	1114	40	73
2020-08-23	1244	1114	40	90
2020-08-24	1249	1134	40	75
2020-08-25	1255	1141	40	74
2020-08-26	1268	1143	40	85
2020-08-28	1297	1167	40	90
